ixdat version = 0.2.2dev
name = 2022-04-07 13_20_11 HER on Pt repeatability non-aqu.tsv
technique = EC-MS
tstamp = 1649330411.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
345.8814001083374,	0.9295508,	0.0003438011,	0,	35.79813003540039,	9.200881e-10,	35.64913988113403,	8.260935e-08,	35.57415008544922,	2.457795e-09,	35.500149965286255,	4.207734e-09,	35.723129987716675,	2.227304e-08,	35.87211990356445,	1.452592e-10,	35.42515993118286,	1.855456e-09
346.039400100708,	0.9308422,	0.0002926505,	0,	36.360389947891235,	9.149884e-10,	36.21140003204346,	8.255117e-08,	36.13739991188049,	2.455894e-09,	36.06241011619568,	4.220321e-09,	36.28639006614685,	2.233774e-08,	36.43537998199463,	1.48341e-10,	35.98842000961304,	1.862996e-09
346.19539999961853,	0.934036,	0.001753494,	0,	36.923619985580444,	9.190898e-10,	36.774630069732666,	8.277308e-08,	36.69963002204895,	2.461285e-09,	36.62563991546631,	4.20861e-09,	36.84861993789673,	2.233902e-08,	36.997610092163086,	1.485026e-10,	36.55064010620117,	1.861549e-09
346.35139989852905,	0.9371076,	-0.0009315265,	0,	37.48587989807129,	9.129612e-10,	37.33689999580383,	8.251478e-08,	37.26189994812012,	2.461325e-09,	37.187910079956055,	4.228915e-09,	37.410890102386475,	2.228617e-08,	37.55988001823425,	1.488261e-10,	37.11291003227234,	1.861682e-09
346.50740003585815,	0.9404466,	-0.003892531,	0,	38.0478401184082,	9.160221e-10,	37.898849964141846,	8.262393e-08,	37.82486009597778,	2.465336e-09,	37.74986004829407,	4.195868e-09,	37.97383999824524,	2.239548e-08,	38.12282991409302,	1.439059e-10,	37.675869941711426,	1.857768e-09
346.6788001060486,	0.9437245,	-0.0008227362,	0,	38.61131000518799,	9.177347e-10,	38.46232008934021,	8.26676e-08,	38.38832998275757,	2.444275e-09,	38.31332993507385,	4.207697e-09,	38.53731989860535,	2.224208e-08,	38.686310052871704,	1.411167e-10,	38.23934006690979,	1.862753e-09
346.85120010375977,	0.9472966,	0.003954494,	0,	39.173099994659424,	9.104553e-10,	39.024110078811646,	8.232564e-08,	38.94912004470825,	2.473796e-09,	38.87512993812561,	4.202213e-09,	39.09809994697571,	2.235284e-08,	39.247090101242065,	1.412497e-10,	38.800129890441895,	1.85933e-09
347.00679993629456,	0.9503491,	-0.002799284,	0,	39.73614001274109,	9.094179e-10,	39.58716011047363,	8.275492e-08,	39.51315999031067,	2.485536e-09,	39.438169956207275,	4.213932e-09,	39.66214990615845,	2.239815e-08,	39.811140060424805,	1.41159e-10,	39.36417007446289,	1.862246e-09
347.1626000404358,	0.953329,	0.00097593,	0,	40.299269914627075,	9.195589e-10,	40.1502799987793,	8.334427e-08,	40.07628011703491,	2.463406e-09,	40.001280069351196,	4.221945e-09,	40.22527003288269,	2.220692e-08,	40.37425994873047,	1.420581e-10,	39.927289962768555,	1.85632e-09
347.3187999725342,	0.9566718,	-0.001591903,	0,	40.86162996292114,	9.127549e-10,	40.71265006065369,	8.244933e-08,	40.63765001296997,	2.443693e-09,	40.56365990638733,	4.233117e-09,	40.78663992881775,	2.251049e-08,	40.935630083084106,	1.426567e-10,	40.48866009712219,	1.859377e-09
347.47560000419617,	0.9595371,	0.000361742,	0,	41.42480993270874,	9.312162e-10,	41.27582001686096,	8.255484e-08,	41.20082998275757,	2.466109e-09,	41.126830101013184,	4.199309e-09,	41.34981989860535,	2.233516e-08,	41.498810052871704,	1.420207e-10,	41.05184006690979,	1.85512e-09
347.6470000743866,	0.9631245,	-0.002774091,	0,	41.986769914627075,	9.251584e-10,	41.8377799987793,	8.27913e-08,	41.763789892196655,	2.464438e-09,	41.68879008293152,	4.217149e-09,	41.91277003288269,	2.232172e-08,	42.06175994873047,	1.41292e-10,	41.61479997634888,	1.856703e-09
347.8185999393463,	0.9665323,	-0.001094139,	0,	42.55036997795105,	9.199451e-10,	42.40138006210327,	8.26676e-08,	42.326380014419556,	2.444223e-09,	42.252389907836914,	4.218688e-09,	42.475369930267334,	2.235135e-08,	42.62436008453369,	1.426183e-10,	42.17739009857178,	1.863894e-09
347.97440004348755,	0.9694549,	0.0003079194,	0,	43.11316990852356,	9.192265e-10,	42.96417999267578,	8.223103e-08,	42.88918995857239,	2.471437e-09,	42.815190076828,	4.225537e-09,	43.038180112838745,	2.224394e-08,	43.18717002868652,	1.399066e-10,	42.74020004272461,	1.866734e-09
348.14479994773865,	0.9729543,	0.001225957,	0,	43.674829959869385,	9.246698e-10,	43.525840044021606,	8.215466e-08,	43.45183992385864,	2.428182e-09,	43.37684988975525,	4.240134e-09,	43.600830078125,	2.242049e-08,	43.74981999397278,	1.39415e-10,	43.302850008010864,	1.855347e-09
