ixdat version = 0.2.2dev
name = 2022-04-07 10_10_27 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649319027.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
666.7144999504089,	0.9211852,	-0.0001180805,	0,	35.23277997970581,	9.052187e-10,	35.08379006385803,	8.551614e-08,	35.008790016174316,	3.57484e-09,	34.934799909591675,	2.886147e-12,	35.157779932022095,	2.059248e-08,	35.306780099868774,	1.2645e-10,	34.85980010032654,	1.736819e-09
666.902899980545,	0.9211699,	7.736029e-05,	0,	35.794820070266724,	8.998224e-10,	35.645829916000366,	8.449386e-08,	35.57183003425598,	3.51074e-09,	35.49684000015259,	4.004524e-12,	35.72082996368408,	2.054008e-08,	35.86982011795044,	1.267548e-10,	35.4228401184082,	1.735994e-09
667.0736999511719,	0.9212349,	0.0001872957,	0,	36.35771989822388,	9.02394e-10,	36.2087299823761,	8.545427e-08,	36.134740114212036,	3.53395e-09,	36.05974006652832,	5.187511e-12,	36.283730030059814,	2.047549e-08,	36.43271994590759,	1.246555e-10,	35.985739946365356,	1.732542e-09
667.2295000553131,	0.9242186,	6.8199e-05,	0,	36.92044997215271,	9.057414e-10,	36.77146005630493,	8.463211e-08,	36.69647002220154,	3.49561e-09,	36.622469902038574,	2.743696e-11,	36.845459938049316,	2.093619e-08,	36.994450092315674,	1.255831e-10,	36.54747009277344,	1.732788e-09
667.3875000476837,	0.9275118,	-0.0009971824,	0,	37.48307991027832,	9.011122e-10,	37.33408999443054,	8.477399e-08,	37.25909996032715,	3.513329e-09,	37.185100078582764,	3.136139e-11,	37.408080101013184,	2.070424e-08,	37.55707001686096,	1.249024e-10,	37.11011004447937,	1.736034e-09
667.5453000068665,	0.9304688,	-2.800981e-06,	0,	38.045039892196655,	9.076351e-10,	37.89604997634888,	8.471216e-08,	37.82205009460449,	3.524443e-09,	37.7470600605011,	3.250291e-11,	37.97104001045227,	2.084037e-08,	38.12002992630005,	1.200926e-10,	37.673059940338135,	1.737521e-09
667.7019000053406,	0.9337772,	0.000167828,	0,	38.60817003250122,	9.033948e-10,	38.45918011665344,	8.461394e-08,	38.38418006896973,	3.500374e-09,	38.310189962387085,	3.188805e-11,	38.533169984817505,	2.080446e-08,	38.68215990066528,	1.231483e-10,	38.23518991470337,	1.734347e-09
667.8568999767303,	0.9367686,	-0.0001795375,	0,	39.171380043029785,	9.038151e-10,	39.02238988876343,	8.481765e-08,	38.94740009307861,	3.51629e-09,	38.87339997291565,	3.142677e-11,	39.09639000892639,	2.075054e-08,	39.24537992477417,	1.188599e-10,	38.798409938812256,	1.735307e-09
668.0283000469208,	0.9403368,	0.00203444,	0,	39.73372006416321,	9.093808e-10,	39.58472990989685,	8.461029e-08,	39.510730028152466,	3.492233e-09,	39.43572998046875,	3.125608e-11,	39.659719944000244,	2.085402e-08,	39.8087100982666,	1.226257e-10,	39.36174011230469,	1.729802e-09
668.184700012207,	0.9434352,	0.0001758441,	0,	40.29518008232117,	9.004085e-10,	40.14618992805481,	8.465758e-08,	40.07220005989075,	3.510875e-09,	39.99721002578735,	3.038597e-11,	40.221189975738525,	2.082482e-08,	40.37017011642456,	1.207573e-10,	39.92320990562439,	1.737968e-09
